Cyclic Group,Epoch,Train Accuracy,Train Loss,Test Accuracy,Test Loss
8,39,95.39893011609378,626.82470703125,82.49167591564928,2293.16943359375
8,40,95.55170098478067,614.7799072265625,82.56104328523863,2363.4287109375
8,41,95.57836231565045,620.2576293945312,83.39692008879024,2288.3818359375
8,42,95.83964919878736,587.2058715820312,83.28246392896781,2253.142333984375
8,43,95.75964202002983,606.4014282226562,83.2200332963374,2256.297119140625
8,44,95.94955956375838,589.7343139648438,83.37610987791344,2288.777099609375
8,45,96.01228577328102,584.0582275390625,83.82006104328525,2209.47607421875
8,46,96.22377266245671,573.6951293945312,83.18881798002221,2347.05859375
8,47,96.1082059533387,574.6786499023438,83.7923140954495,2233.3525390625
8,48,96.20828367103695,572.3870239257812,83.43507214206437,2343.8125
8,49,96.36305670001963,559.172119140625,82.92175360710323,2359.9111328125
8,50,96.47945338243846,537.1281127929688,83.2512486126526,2370.412353515625
8,51,96.62964381463041,527.6878662109375,83.97266925638179,2273.8232421875
8,52,96.69284632853899,518.1353759765625,83.90330188679245,2354.04248046875
8,53,96.5564802693099,550.7979125976562,84.35765815760267,2307.934326171875
8,54,96.86171196154557,520.5090942382812,84.63165926748057,2317.64892578125
8,55,96.86471663619744,513.0183715820312,83.77844062153163,2410.245849609375
8,56,96.82291666666667,535.9949340820312,83.6119589345172,2473.52734375
8,57,97.16113105924596,481.1598815917969,83.3691731409545,2431.640869140625
8,58,97.00400355871886,505.40447998046875,83.6639844617092,2437.624267578125
8,59,97.05246913580247,512.5863647460938,83.86514983351832,2438.120361328125
8,60,97.26180069930071,466.3135681152344,84.63859600443952,2327.20947265625
8,61,97.32019064124783,453.7508544921875,84.61084905660378,2357.873291015625
8,62,97.32603092783505,461.982666015625,83.59461709211988,2533.263427734375
8,63,97.38287904599659,456.63482666015625,84.03509988901222,2470.682861328125
8,64,97.25506756756756,470.91961669921875,84.05937846836848,2499.908447265625
